TF_Gene_ID	TF_family	TF_name	Short_descr	Species	Invol_cond
AT1G25330	bHLH	CES	basic helix-loop-helix (bHLH) DNA-binding superfamily protein; Transcription factor bHLH75 (Basic helix-loop-helix protein 75) (AtbHLH75) (bHLH 75) (Transcription factor EN 78) (bHLH transcription factor bHLH075) [BHLH75] [EN78] [F4F7.28]	Arabidopsis thaliana	NA
AT1G26260	bHLH	CIB5	cryptochrome-interacting basic-helix-loop-helix 5; Transcription factor bHLH76 (Basic helix-loop-helix protein 76) (AtbHLH76) (bHLH 76) (Protein CRYPTOCHROME INTERACTING BASIC-HELIX-LOOP-HELIX 5) (Transcription factor EN 83) (bHLH transcription factor bHLH076) [BHLH76] [CIB5] [EN83] [F28B23.8]	Arabidopsis thaliana	involved in cell elongation.
AT1G73830	bHLH	BEE3	BR enhanced expression 3; Transcription factor BEE 3 (Basic helix-loop-helix protein 50) (AtbHLH50) (bHLH 50) (Protein Brassinosteroid enhanced expression 3) (Transcription factor EN 76) (bHLH transcription factor bHLH050) [BEE3] [BHLH50] [EN76] [F25P22.25]	Arabidopsis thaliana	Positive regulator of brassinosteroid signaling.
AT4G34530	bHLH	CIB1	NA	Arabidopsis thaliana	NA
AT1G69010	bHLH	BIM2	BES1-interacting Myc-like protein 2; Transcription factor BIM2 (BES1-interacting Myc-like protein 2) (Basic helix-loop-helix protein 102) (AtbHLH102) (bHLH 102) (Transcription factor EN 125) (bHLH transcription factor bHLH102) [BIM2] [BHLH102] [EN125] [T6L1.19]	Arabidopsis thaliana	Positive brassinosteroid-signaling protein
AT2G18300	bHLH	HBI1	basic helix-loop-helix (bHLH) DNA-binding superfamily protein; Transcription factor HBI1 (Basic helix-loop-helix protein 64) (AtbHLH64) (bHLH 64) (Protein HOMOLOG OF BEE2 INTERACTING WITH IBH1) (Transcription factor EN 79) (bHLH transcription factor bHLH064) [HBI1] [BHLH64] [EN79] [T30D6.19]	Arabidopsis thaliana	acts as positive regulator of cell elongation downstream of multiple external and endogenous signals by direct binding to the promoters and activation of the two expansin genes EXPA1 and EXPA8, encoding cell wall loosening enzymes.
AT2G20180	bHLH	PIL5	phytochrome interacting factor 3-like 5; Transcription factor PIF1 (Basic helix-loop-helix protein 15) (AtbHLH15) (bHLH 15) (Protein PHY-INTERACTING FACTOR 1) (Protein PHYTOCHROME INTERACTING FACTOR 3-LIKE 5) (Transcription factor EN 101) (bHLH transcription factor bHLH015) [PIF1] [BHLH15] [EN101] [PIL5] [T2G17.2]	Arabidopsis thaliana	Regulates negatively chlorophyll biosynthesis and seed germination in the dark, and lightinduced degradation of PIF1 relieves this negative regulation to promote photomorphogenesis. Promotes the expression of SOM, and thus modulates responses to abscisic acid (ABA) and gibberellic acid (GA).
AT3G23210	bHLH	bHLH34	basic helix-loop-helix (bHLH) DNA-binding superfamily protein; Transcription factor bHLH34 (Basic helix-loop-helix protein 34) (AtbHLH34) (bHLH 34) (Transcription factor EN 135) (bHLH transcription factor bHLH034) [BHLH34] [EN135] [K14B15.12]	Arabidopsis thaliana	NA
AT1G51070	bHLH	bHLH115	basic helix-loop-helix (bHLH) DNA-binding superfamily protein; Transcription factor bHLH115 (Basic helix-loop-helix protein 115) (AtbHLH115) (bHLH 115) (Transcription factor EN 134) (bHLH transcription factor bHLH115) [BHLH115] [EN134] [F23H24.8]	Arabidopsis thaliana	NA
AT4G00050	bHLH	UNE10	basic helix-loop-helix (bHLH) DNA-binding superfamily protein; Transcription factor UNE10 (Basic helix-loop-helix protein 16) (AtbHLH16) (bHLH 16) (Protein UNFERTILIZED EMBRYO SAC 10) (Transcription factor EN 108) (bHLH transcription factor bHLH016) [UNE10] [BHLH16] [EN108] [F6N15.11]	Arabidopsis thaliana	Required during the fertilization of ovules by pollen.
AT4G14410	bHLH	bHLH104	basic helix-loop-helix (bHLH) DNA-binding superfamily protein; Transcription factor bHLH104 (Basic helix-loop-helix protein 104) (AtbHLH104) (bHLH 104) (Transcription factor EN 136) (bHLH transcription factor bHLH104) [BHLH104] [EN136] [dl3245w] [FCAALL.201]	Arabidopsis thaliana	NA
AT4G17880	bHLH	MYC4	Basic helix-loop-helix (bHLH) DNA-binding family protein; Transcription factor MYC4 (AtMYC4) (Basic helix-loop-helix protein 4) (AtbHLH4) (bHLH 4) (Transcription factor EN 37) (bHLH transcription factor bHLH004) [MYC4] [BHLH4] [EN37] [T6K21.60]	Arabidopsis thaliana	involved in jasmonic acid (JA) gene regulation. With MYC2 and MYC3, controls additively subsets of JA-dependent responses. Can form complexes with all known glucosinolate-related MYBs to regulate glucosinolate biosynthesis.
AT4G36540	bHLH	BEE2	BR enhanced expression 2; Transcription factor BEE 2 (Basic helix-loop-helix protein 58) (AtbHLH58) (bHLH 58) (Protein Brassinosteroid enhanced expression 2) (Transcription factor EN 80) (bHLH transcription factor bHLH058) [BEE2] [BHLH58] [EN80] [AP22.3]	Arabidopsis thaliana	Positive regulator of brassinosteroid signaling.
AT4G36930	bHLH	SPT	basic helix-loop-helix (bHLH) DNA-binding superfamily protein; Transcription factor SPATULA (Basic helix-loop-helix protein 24) (AtbHLH24) (bHLH 24) (Transcription factor EN 99) (bHLH transcription factor bHLH024) [SPT] [BHLH24] [EN99] [AP22.25] [C7A10.430]	Arabidopsis thaliana	plays a role in floral organogenesis. Promotes the growth of carpel margins and of pollen tract tissues derived from them.
AT5G08130	bHLH	BIM1	basic helix-loop-helix (bHLH) DNA-binding superfamily protein; Transcription factor BIM1 (BES1-interacting Myc-like protein 1) (Basic helix-loop-helix protein 46) (AtbHLH46) (bHLH 46) (Transcription factor EN 126) (bHLH transcription factor bHLH046) [BIM1] [BHLH46] [EN126] [T22D6.70]	Arabidopsis thaliana	Positive brassinosteroid-signaling protein
AT5G38860	bHLH	BIM3	NA	Arabidopsis thaliana	NA
AT5G46760	bHLH	MYC3	Basic helix-loop-helix (bHLH) DNA-binding family protein; Transcription factor MYC3 (Basic helix-loop-helix protein 5) (AtbHLH5) (bHLH 5) (Protein ALTERED TRYPTOPHAN REGULATION 2) (Transcription factor ATR2) (Transcription factor EN 36) (bHLH transcription factor bHLH005) [MYC3] [ATR2] [BHLH5] [EN36] [MZA15.18]	Arabidopsis thaliana	involved in tryptophan, jasmonic acid (JA) and other stress-responsive gene regulation. With MYC2 and MYC4, controls additively subsets of JA-dependent responses. Can form complexes with all known glucosinolate-related MYBs to regulate glucosinolate biosynthesis
AT5G54680	bHLH	ILR3; bHLH105	basic helix-loop-helix (bHLH) DNA-binding superfamily protein; Transcription factor ILR3 (Basic helix-loop-helix protein 105) (AtbHLH105) (bHLH 105) (Protein IAA-LEUCINE RESISTANT 3) (Transcription factor EN 133) (bHLH transcription factor bHLH105) [ILR3] [BHLH105] [EN133] [K5F14.2]	Arabidopsis thaliana	Plays a role in resistance to amide-linked indole-3-acetic acid (IAA) conjugates such as IAA-Leu and IAA-Phe. May regulate gene expression in response to metal homeostasis changes.
AT1G51140	bHLH	FBH3	basic helix-loop-helix (bHLH) DNA-binding superfamily protein; Transcription factor bHLH122 (Basic helix-loop-helix protein 122) (AtbHLH122) (bHLH 122) (Transcription factor EN 70) (bHLH transcription factor bHLH122) [BHLH122] [EN70] [F23H24.3]	Arabidopsis thaliana	NA
AT2G42280	bHLH	FBH4	basic helix-loop-helix (bHLH) DNA-binding superfamily protein; Transcription factor bHLH130 (Basic helix-loop-helix protein 130) (AtbHLH130) (bHLH 130) (Transcription factor EN 69) (bHLH transcription factor bHLH130) [BHLH130] [EN69] [T24P15.19]	Arabidopsis thaliana	NA
AT4G02590	bHLH	UNE12	basic helix-loop-helix (bHLH) DNA-binding superfamily protein; Transcription factor UNE12 (Basic helix-loop-helix protein 59) (AtbHLH59) (bHLH 59) (Protein UNFERTILIZED EMBRYO SAC 12) (Transcription factor EN 93) (bHLH transcription factor bHLH059) [UNE12] [BHLH59] [EN93] [T10P11.13]	Arabidopsis thaliana	Required for ovule fertilization.
AT5G67060	bHLH	HEC1	basic helix-loop-helix (bHLH) DNA-binding superfamily protein; Transcription factor HEC1 (Basic helix-loop-helix protein 88) (AtbHLH88) (bHLH 88) (Protein HECATE 1) (Transcription factor EN 118) (bHLH transcription factor bHLH088) [HEC1] [BHLH88] [EN118] [K21H1.2]	Arabidopsis thaliana	Required for the female reproductive tract development and fertility.
AT3G50330	bHLH	HEC2	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	Arabidopsis thaliana	NA
AT5G09750	bHLH	HEC3	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	Arabidopsis thaliana	NA
AT1G32150	bZIP	bZIP68	NA	Arabidopsis thaliana	NA
AT2G35530	bZIP	bZIP16	NA	Arabidopsis thaliana	NA
AT1G45249	bZIP	ATAREB1	NA	Arabidopsis thaliana	NA
AT3G19290	bZIP	AREB2; ABF4	ABRE binding factor 4; ABSCISIC ACID-INSENSITIVE 5-like protein 7 (ABA-responsive element-binding protein 2) (Abscisic acid responsive elements-binding factor 4) (ABRE-binding factor 4) (bZIP transcription factor 38) (AtbZIP38) [ABF4] [AREB2] [BZIP38] [MVI11.7]	Arabidopsis thaliana	NA
POPTR_0004s14790	bZIP	ABF2-1	NA	Populus trichocarpa	NA
AT1G49720	bZIP	ABF1	abscisic acid responsive element-binding factor 1; ABSCISIC ACID-INSENSITIVE 5-like protein 4 (Abscisic acid responsive elements-binding factor 1) (ABRE-binding factor 1) (bZIP transcription factor 35) (AtbZIP35) [ABF1] [BZIP35] [F14J22.7]	Arabidopsis thaliana	Could participate in abscisic acid-regulated gene expression.
AT1G77920	bZIP	TGA7	bZIP transcription factor family protein; Transcription factor TGA7 (bZIP transcription factor 50) (AtbZIP50) [TGA7] [BZIP50] [F28K19.13]	Arabidopsis thaliana	Binding to the as-1-like cis elements mediate auxin- and salicylic acid-inducible transcription. May be involved in the induction of the systemic acquired resistance (SAR) via its interaction with NPR1
AT1G08320	bZIP	TGA9	NA	Arabidopsis thaliana	NA
AT1G68640	bZIP	PAN	bZIP transcription factor family protein; Transcription factor PERIANTHIA (bZIP transcription factor 46) (AtbZIP46) [PAN] [F24J5.12]	Arabidopsis thaliana	involved in the determination of floral organ number. Acts to determine floral organ patterning by establishing floral organ primordia in specific numbers and positions. Plays a role in regulating stem cell fate by directly controlling AG expression.
AT5G06839	bZIP	bZIP65	NA	Arabidopsis thaliana	NA
fgenesh2_kg.6__644__AT5G06950.1	bZIP	TGA2	NA	Arabidopsis lyrata	NA
AT2G36270	bZIP	ABI5; GIA1	Basic-leucine zipper (bZIP) transcription factor family protein; Protein ABSCISIC ACID-INSENSITIVE 5 (Dc3 promoter-binding factor 1) (AtDPBF1) (Protein GROWTH-INSENSITIVITY TO ABA 1) (bZIP transcription factor 39) (AtbZIP39) [ABI5] [BZIP39] [DPBF1] [GIA1] [NEM1] [F2H17.12]	Arabidopsis thaliana	Participates in ABA-regulated gene expression during seed development and subsequent vegetative stage by acting as the major mediator of ABA repression of growth. Plays a role in sugar-mediated senescence.
Os03g0336200	bZIP	RF2B	Transcription factor RF2b.; Transcription factor RF2b [RF2b] [LOC_Os03g21800]	Oryza sativa	probably involved in vascular development and shoot tissue organization.
AT2G40950	bZIP	BZIP17	NA	Arabidopsis thaliana	NA
AT3G56660	bZIP	BZIP49	NA	Arabidopsis thaliana	NA
AT2G46270	bZIP	GBF3	G-box binding factor 3; G-box-binding factor 3 (bZIP transcription factor 55) (AtbZIP55) [GBF3] [BZIP55] [T3F17.8]	Arabidopsis thaliana	NA
AT3G12250	bZIP	TGA6; BZIP45	TGACG motif-binding factor 6; Transcription factor TGA6 (bZIP transcription factor 45) (AtbZIP45) [TGA6] [BZIP45] [F28J15.6] [MQC3.8]	Arabidopsis thaliana	Binding to the as-1-like cis elements mediate auxin- and salicylic acid-inducible transcription. May be involved in the induction of the systemic acquired resistance (SAR) via its interaction with NPR1
AT4G01120	bZIP	GBF2; ATBZIP54	G-box binding factor 2; G-box-binding factor 2 (bZIP transcription factor 54) (AtbZIP54) [GBF2] [BZIP54] [F2N1.12]	Arabidopsis thaliana	G-box-like motifs are cis-acting elements defined in promoters of certain plant genes which are regulated by such diverse stimuli as light-induction or hormone control.
AT4G34000	bZIP	ABF3; DPBF5	abscisic acid responsive elements-binding factor 3; ABSCISIC ACID-INSENSITIVE 5-like protein 6 (Abscisic acid responsive elements-binding factor 3) (ABRE-binding factor 3) (Dc3 promoter-binding factor 5) (AtDPBF5) (bZIP transcription factor 37) (AtbZIP37) [ABF3] [BZIP37] [DPBF5] [At4g34000/At4g34010] [F17I5.190/F17I5.200] [F28A23.230]	Arabidopsis thaliana	Mediates stress-responsive ABA signaling.
AT4G36730	bZIP	GBF1	G-box binding factor 1; G-box-binding factor 1 (bZIP transcription factor 41) (AtbZIP41) [GBF1] [BZIP41] [C7A10_630]	Arabidopsis thaliana	NA
AT5G06950	bZIP	TGA2; AHBP-1B	TGACG sequence-specific binding protein 2; bZIP transcription factor family protein; Transcription factor TGA2 (HBP-1b homolog) (AHBP-1b) (bZIP transcription factor 20) (AtbZIP20) [TGA2] [BZIP20] [HBP1B] [MOJ9.12]	Arabidopsis thaliana	NA
AT5G06960	bZIP	OBF5; TGA5	OCS-element binding factor 5; Transcription factor TGA5 (Ocs element-binding factor 5) (OBF5) (bZIP transcription factor 26) (AtbZIP26) [TGA5] [BZIP26] [OBF5] [MOJ9.13]	Arabidopsis thaliana	Binding to the as-1-like cis elements mediate auxin- and salicylic acid-inducible transcription. May be involved in the induction of the systemic acquired resistance (SAR) via its interaction with NPR1
AT5G10030	bZIP	TGA4	TGACG motif-binding factor 4; Transcription factor TGA4 (Ocs element-binding factor 4) (OBF4) (bZIP transcription factor 57) (AtbZIP57) [TGA4] [BZIP57] [OBF4] [T31P16_20]	Arabidopsis thaliana	Binding to the as-1-like cis elements mediate auxin- and salicylic acid-inducible transcription. May be involved in the induction of the systemic acquired resistance (SAR) via its interaction with NPR1
AT5G28770	bZIP	AtbZIP63; BZO2H3	bZIP transcription factor family protein; Basic leucine zipper 63 (AtbZIP63) (bZIP protein 63) (Basic leucine zipper OPAQUE 2 homolog 3) (Basic leucine zipper O2 homolog 3) [BZIP63] [BZO2H3] [T32B20.4]	Arabidopsis thaliana	NA
AT3G54620	bZIP	BZO2H4; BZIP25	basic leucine zipper 25; Basic leucine zipper 25 (AtbZIP25) (bZIP protein 25) (Basic leucine zipper OPAQUE 2 homolog 4) (Basic leucine zipper O2 homolog 4) [BZIP25] [BZO2H4] [T14E10.190]	Arabidopsis thaliana	NA
AT5G24800	bZIP	ATBZIP9; BZO2H2; BZIP9	basic leucine zipper 9; Basic leucine zipper 9 (AtbZIP9) (bZIP protein 9) (Basic leucine zipper OPAQUE 2 homolog 2) (Basic leucine zipper O2 homolog 2) [BZIP9] [BZO2H2] [F6A4.10]	Arabidopsis thaliana	NA
Sb02g004610	bZIP	O2	NA	Sorghum bicolor	NA
AT5G65210	bZIP	TGA1	bZIP transcription factor family protein; Transcription factor TGA1 (DNA-binding protein TGA1a-like protein) (bZIP transcription factor 47) (AtbZIP47) [TGA1] [BZIP47] [MQN23.15]	Arabidopsis thaliana	Binding to the as-1-like cis elements mediate auxin- and salicylic acid-inducible transcription. May be involved in the induction of the systemic acquired resistance (SAR) via its interaction with NPR1
Sb07g028960	bZIP	SB07G028900	NA	Sorghum bicolor	NA
AT1G03970	bZIP	GBF4	G-box binding factor 4; G-box-binding factor 4 (bZIP transcription factor 40) (AtbZIP40) [GBF4] [BZIP40] [F21M11.10]	Arabidopsis thaliana	NA
AT1G10480	C2H2	ZFP5	zinc finger protein 5; Zinc finger protein 5 [ZFP5] [T10O24.9]	Arabidopsis thaliana	required for the initiation of inflorescence trichomes in response to gibberellin (GA). Modulates root hair initiation and elongation in response to cytokinin and ethylene signals by directly promoting expression of the CAPRICE (CPC) gene.
AT1G27730	C2H2	STZ; ZAT10	salt tolerance zinc finger; Zinc finger protein ZAT10 (Salt-tolerance zinc finger) [ZAT10] [STZ] [T22C5.18]	Arabidopsis thaliana	involved in abiotic stress responses. Probably involved in jasmonate (JA) early signaling response.
AT5G04340	C2H2	C2H2; ZAT6; CZF2	zinc finger of Arabidopsis thaliana 6; Zinc finger protein ZAT6 (COLD INDUCED ZINC FINGER PROTEIN 2) [ZAT6] [CZF2] [T19N18.70]	Arabidopsis thaliana	Probable transcription factor that regulates root development and phosphate (Pi) acquisition and homeostasis. Probably acts as a repressor of primary root growth and regulates Pi homeostasis through the control of root architecture.
AT5G43170	C2H2	AZF3; ZF3	zinc-finger protein 3; Zinc finger protein AZF3 (Zinc-finger protein 3) [AZF3] [ZF3] [MMG4.21]	Arabidopsis thaliana	probably involved in abiotic stress responses.
AT2G41940	C2H2	ZFP8	zinc finger protein 8; Zinc finger protein 8 [ZFP8] [T6D20.16]	Arabidopsis thaliana	required for the initiation of inflorescence trichomes in response to gibberellin and cytokin.
AT3G19580	C2H2	AZF2; ZF2	zinc-finger protein 2; Zinc finger protein AZF2 (Zinc-finger protein 2) [AZF2] [ZF2] [MMB12.27] [MMB12.4]	Arabidopsis thaliana	involved in the inhibition of plant growth under abiotic stress conditions. Can repress the expression of various genes, including osmotic stress and abscisic acid-repressive genes and auxin-inducible genes, by binding to their promoter regions in a DNA sequence-specific manner.  Acts as a negative regulator of abscisic acid (ABA) signaling during seed germination. Probably involved in jasmonate (JA) early signaling response. May regulate the expression of the JA biosynthesis gene LOX3 and control the expression of TIFY10A/JAZ1, a key repressor in the JA signaling cascade. May act as a positive regulator of leaf senescence. Has been identified as a suppressor of the deficiency of yeast snf4 mutant to grow on non-fermentable carbon source.
AT3G46090	C2H2	ZAT7	NA	Arabidopsis thaliana	NA
AT2G37430	C2H2	ZAT11	C2H2 and C2HC zinc fingers superfamily protein; Zinc finger protein ZAT11 [ZAT11] [F3G5.22]	Arabidopsis thaliana	may be involved in stress responses
AT5G06070	C2H2	RBE; RAB	C2H2 and C2HC zinc fingers superfamily protein; Probable transcriptional regulator RABBIT EARS [RBE] [K16F4.3]	Arabidopsis thaliana	Probable transcriptional regulator essential for petal development. Required for the early development of the organ primordia of the second whorl.
AT5G59820	C2H2	RHL41; ZAT12	C2H2-type zinc finger family protein; Zinc finger protein ZAT12 (Protein RESPONSIVE TO HIGH LIGHT 41) [ZAT12] [RHL41] [MMN10.11]	Arabidopsis thaliana	involved in light acclimation, cold and oxidative stress responses. May regulate a collection of transcripts involved in response to high-light, cold and oxidative stress.
AT5G67450	C2H2	AZF1; ZF1	zinc-finger protein 1; Zinc finger protein AZF1 (Zinc finger protein OZAKGYO) (Zinc-finger protein 1) [AZF1] [ZF1] [K8K14.19]	Arabidopsis thaliana	involved in the inhibition of plant growth under abiotic stress conditions.
AT2G22300	CG-1; CAMTA	CAMTA3; SR1	signal responsive 1; Calmodulin-binding transcription activator 3 (Ethylene-induced calmodulin-binding protein 1) (EICBP1) (Ethylene-induced calmodulin-binding protein a) (EICBP.a) (Signal-responsive protein 1) [CMTA3] [SR1] [T26C19.4]	Arabidopsis thaliana	Regulates transcriptional activity in response to calcium signals.
AT2G21060	CSD	ATGRP2B	NA	Arabidopsis thaliana	NA
AT4G38680	CSD	CSDP2	NA	Arabidopsis thaliana	NA
AT4G14770	TCR; CPP	TCX2; ATTCX2	TESMIN/TSO1-like CXC 2; Protein tesmin/TSO1-like CXC 2 (AtTCX2) (Protein TSO1-like 2) (Protein SOL2) [TCX2] [SOL2] [dl3425c] [FCAALL.306]	Arabidopsis thaliana	Plays a role in development of both male and female reproductive tissues
AT3G22760	TCR; CPP	SOL1	Tesmin/TSO1-like CXC domain-containing protein; Protein tesmin/TSO1-like CXC 3 (AtTCX3) (Protein TSO1-like 1) (Protein SOL1) [TCX3] [SOL1] [MWI23.13]	Arabidopsis thaliana	Plays a role in development of both male and female reproductive tissues
AT3G22780	TCR; CPP	TSO1; ATTSO1	Tesmin/TSO1-like CXC domain-containing protein; CRC domain-containing protein TSO1 [TSO1] [MWI23.15]	Arabidopsis thaliana	Probable floral-specific cell division component, required for proper organ formation in flowers. Regulates the floral meristem cell division and the inflorescence meristem organization. Plays a role in development of both male and female reproductive tissues.
AT2G37590	Dof	ATDOF2.4; DOF2.4	DNA binding with one finger 2.4; Dof zinc finger protein DOF2.4 (AtDOF2.4) [DOF2.4] [F13M22.9]	Arabidopsis thaliana	NA
AT3G21270	Dof	ADOF2; DOF2	DOF zinc finger protein 2; Dof zinc finger protein DOF3.1 (AtDOF3.1) [DOF3.1] [ADOF2] [MXL8.14]	Arabidopsis thaliana	NA
AT3G45610	Dof	DOF6	Dof-type zinc finger DNA-binding family protein; Dof zinc finger protein DOF3.2 (AtDOF3.2) [DOF3.2] [DOF6] [F9K21.190]	Arabidopsis thaliana	NA
AT3G47500	Dof	cdf3; CDF3	cycling DOF factor 3; Cyclic dof factor 3 (Dof zinc finger protein DOF3.3) (AtDOF3.3) (H-protein promoter-binding factor 2a) [CDF3] [DOF3.3] [HPPBF-2A] [F1P2.50]	Arabidopsis thaliana	NA
AT4G38000	Dof	DOF4.7	DNA binding with one finger 4.7; Dof zinc finger protein DOF4.7 (AtDOF4.7) [DOF4.7] [F20D10.120]	Arabidopsis thaliana	NA
AT5G39660	Dof	CDF2	cycling DOF factor 2; Cyclic dof factor 2 (Dof zinc finger protein DOF5.2) (AtDOF5.2) [CDF2] [DOF5.2] [MIJ24.16]	Arabidopsis thaliana	NA
AT5G60200	Dof	TMO6	TARGET OF MONOPTEROS 6; Dof zinc finger protein DOF5.3 (AtDOF5.3) [DOF5.3] [F15L12.9]	Arabidopsis thaliana	NA
AT5G60850	Dof	OBP4	OBF binding protein 4; Dof zinc finger protein DOF5.4 (AtDOF5.4) (OBF-binding protein 4) [DOF5.4] [OBP4] [MAE1.9]	Arabidopsis thaliana	Enhances the DNA binding of OBF transcription factors to OCS elements
AT5G62940	Dof	DOF5.6; HCA2	Dof-type zinc finger DNA-binding family protein; Dof zinc finger protein DOF5.6 (AtDOF5.6) [DOF5.6] [MQB2.26]	Arabidopsis thaliana	NA
AT3G48160	E2F	E2FE	NA	Arabidopsis thaliana	NA
AT5G22220	E2F/DP	E2F1; E2FB; ATE2FB	E2F transcription factor 1; Transcription factor E2FB (E2F transcription factor-1) (AtE2F1) [E2FB] [E2F1] [T6G21]	Arabidopsis thaliana	Involved in the control of cell-cycle progression from G1 to S phase and from G2 to M phase. Stimulates cell proliferation and delays differentiation. Represses cell enlargement and endoreduplication in auxin-free conditions.
POPTR_0004s21100	E2F	E2FA2-2	NA	Populus trichocarpa	NA
POPTR_0006s22150	E2F	E2FA1-2	NA	Populus trichocarpa	NA
POPTR_0009s16350	E2F	E2FA1-1	NA	Populus trichocarpa	NA
AT1G73730	EIN3; EIL	EIL3; SLIM1; ATSLIM; AtEIL3	ETHYLENE-INSENSITIVE3-like 3; ETHYLENE INSENSITIVE 3-like 3 protein [EIL3] [F25P22.15]	Arabidopsis thaliana	may be involved in the ethylene response pathway.
POPTR_0001s05360	EIN3	EIN3F	NA	Populus trichocarpa	NA
POPTR_0004s20830	EIN3	EIN3B	NA	Populus trichocarpa	NA
POPTR_0008s01200	EIN3	EIN3D	NA	Populus trichocarpa	NA
POPTR_0009s16080	EIN3	EIN3A	NA	Populus trichocarpa	NA
POPTR_0010s25370	EIN3	EIN3C	NA	Populus trichocarpa	NA
AT2G27050	EIN3; EIL	EIL1; AtEIL1	ETHYLENE-INSENSITIVE3-like 1; ETHYLENE INSENSITIVE 3-like 1 protein [EIL1] [T20P8.10]	Arabidopsis thaliana	acting as a positive regulator in the ethylene response pathway.
AT5G21120	EIN3; EIL	EIL2	ETHYLENE-INSENSITIVE3-like 2; ETHYLENE INSENSITIVE 3-like 2 protein [EIL2] [T10F18.150]	Arabidopsis thaliana	acting as a positive regulator in the ethylene response pathway. Could bind the primary ethylene response element present in the ETHYLENE-RESPONSE-FACTOR1 promoter.
AT3G20770	EIN3; EIL	EIN3; AtEIN3	Ethylene insensitive 3 family protein; Protein ETHYLENE INSENSITIVE 3 [EIN3] [MOE17.8]	Arabidopsis thaliana	acting as a positive regulator in the ethylene response pathway. Is required for ethylene responsiveness in adult plant tissues.
AT1G08000	GATA	GATA10	NA	Arabidopsis thaliana	NA
AT2G28340	GATA	GATA13	NA	Arabidopsis thaliana	NA
AT2G45050	GATA	GATA2	GATA transcription factor 2; GATA transcription factor 2 (AtGATA-2) [GATA2] [T14P1.14]	Arabidopsis thaliana	May be involved in the regulation of some light-responsive genes.
AT5G66320	GATA	GATA5	GATA transcription factor 5; GATA transcription factor 5 [GATA5] [K1L20.10]	Arabidopsis thaliana	May be involved in the regulation of some light-responsive genes
POPTR_0004s22140	GATA	GATA-1	NA	Populus trichocarpa	NA
AT1G08010	GATA	GATA11	NA	Arabidopsis thaliana	NA
AT1G51600	GATA	TIFY2A; ZML2; GATA28	ZIM-LIKE 2; GATA transcription factor 28 (Protein TIFY 2A) (ZIM-like 2 protein) [GATA28] [TIFY2A] [ZML2] [F19C24.17] [F5D21.22]	Arabidopsis thaliana	NA
AT4G24470	GATA	TIFY1	GATA-type zinc finger protein with TIFY domain; GATA transcription factor 25 (Protein TIFY 1) (Protein ZIM) [GATA25] [TIFY1] [ZIM] [T22A6.300]	Arabidopsis thaliana	NA
AT3G06740	GATA	GATA15	GATA transcription factor 15; GATA transcription factor 15 [GATA15] [F3E22.12]	Arabidopsis thaliana	NA
AT3G16870	GATA	GATA17	GATA transcription factor 17; GATA transcription factor 17 [GATA17] [MUH15.3]	Arabidopsis thaliana	NA
AT4G26150	GATA	GATA22; CGA1; GNL	cytokinin-responsive gata factor 1; Putative GATA transcription factor 22 [GATA22] [F20B18.260]	Arabidopsis thaliana	NA
AT5G26930	GATA	GATA23	GATA transcription factor 23; GATA transcription factor 23 [GATA23] [F2P16.190] [F2P16.9]	Arabidopsis thaliana	NA
AT5G49300	GATA	GATA16	NA	Arabidopsis thaliana	NA
AT5G56860	GATA	GNC; GATA21	GATA type zinc finger transcription factor family protein; GATA transcription factor 21 [GATA21] [GNC] [MPI10.2]	Arabidopsis thaliana	NA
AT3G21175	GATA	TIFY2B; ZML1; GATA24	ZIM-like 1; GATA transcription factor 24 (Protein TIFY 2B) (ZIM-like 1 protein) [GATA24] [TIFY2B] [ZML1] [MXL8.2]	Arabidopsis thaliana	NA
AT3G24050	GATA	GATA1	GATA transcription factor 1; GATA transcription factor 1 (AtGATA-1) [GATA1] [F14O13.24]	Arabidopsis thaliana	May be involved in the regulation of some light-responsive genes.
AT3G51080	GATA	GATA6	NA	Arabidopsis thaliana	NA
AT3G45170	GATA	GATA14	NA	Arabidopsis thaliana	NA
AT3G54810	GATA	GATA8; BME3-ZF; BME3	Plant-specific GATA-type zinc finger transcription factor family protein; GATA transcription factor 8 [GATA8] [F28P10.210] [T5N23.3]	Arabidopsis thaliana	May be involved in the regulation of some light-responsive genes
AT3G60530	GATA	GATA4	GATA transcription factor 4; GATA transcription factor 4 (AtGATA-4) [GATA4] [T8B10.190]	Arabidopsis thaliana	May be involved in the regulation of some light-responsive genes.
AT4G17570	GATA	GATA26	GATA transcription factor 26; GATA transcription factor 26 [GATA26] [dl4820c] [FCAALL.45]	Arabidopsis thaliana	NA
AT4G32890	GATA	GATA9	GATA transcription factor 9; GATA transcription factor 9 [GATA9] [F26P21.10]	Arabidopsis thaliana	May be involved in the regulation of some light-responsive genes
AT4G34680	GATA	GATA3	GATA transcription factor 3; GATA transcription factor 3 (AtGATA-3) [GATA3] [T4L20.260]	Arabidopsis thaliana	May be involved in the regulation of some light-responsive genes.
AT4G36240	GATA	GATA7	NA	Arabidopsis thaliana	NA
AT5G47140	GATA	GATA27	NA	Arabidopsis thaliana	NA
