TF_Gene_ID	TF_family	TF_name	Short_descr	Species	Invol_cond
28049.m000300	AP2	28049.m000300	NA	Ricinus communis	NA
Zm00001d015305	ERF	NA	Ethylene-responsive transcription factor 3; Uncharacterized protein	Zea mays	NA
P27898	trp	p1; P1-rr	pericarp color1	Zea mays	NA
AT3G20310	AP2; ERF	ATERF-7; ATERF7; ERF7	ethylene response factor 7; Ethylene-responsive transcription factor 7 (AtERF7) (Ethylene-responsive element-binding factor 7) (EREBP-7) [ERF7] [ERF-7] [ERF083] [MQC12.5]	Arabidopsis thaliana	Involved in the regulation of gene expression by abscisic acid, stress factors and by components of stress signal transduction pathways.
Cucsa.129330	AP2	Cucsa.129330	NA	Cucumis sativus	NA
AT3G23230	AP2; ERF	AT3G23230; TDR1	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF098 [ERF098] [K14B15.14]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
BRADI3G12565	AP2	BRADI3G12565	NA	Brachypodium distachyon	NA
Cucsa.255320	AP2	Cucsa.255320	NA	Cucumis sativus	NA
Cucsa.383680	AP2	Cucsa.383680	NA	Cucumis sativus	NA
Medtr1g059490	AP2	Medtr1g059490	NA	Medicago truncatula	NA
gw1.6.206.1	AP2	gw1.6.206.1	NA	Physcomitrella patens	NA
PK25743.1	AP2	PK25743.1	NA	Cannabis sativa	NA
mgf019903m	AP2	mgf019903m	NA	Mimulus guttatus	NA
mgf021944m	AP2	mgf021944m	NA	Mimulus guttatus	NA
Zm00001d019744	ERF	NA	Unknown protein; AP2-EREBP transcription factor (Uncharacterized protein) (Fragment)	Zea mays	NA
Zm00001d049903	ERF	NA	Putative AP2/EREBP transcription factor superfamily protein; Putative AP2/EREBP transcription factor superfamily protein (Uncharacterized protein)	Zea mays	NA
30147.m014329	AP2	30147.m014329	NA	Ricinus communis	NA
Os07g0410700	AP2	NA	NA	Oryza sativa	NA
AT4G16750	AP2; ERF	AT4G16750	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF039 [ERF039] [dl4400c] [FCAALL.19]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT1G01250	AP2; ERF	AT1G01250	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF023 [ERF023] [F6F3.6]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT2G25820	AP2; ERF	AT2G25820; ESE2	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF042 [ERF042] [F17H15.15]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT3G16280	AP2; ERF	AT3G16280	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF036 [ERF036] [MYA6.9] [T02O04.22]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT3G60490	AP2; ERF	AT3G60490	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF035 [ERF035] [T8B10.150]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
BRADI2G06180	AP2	BRADI2G06180	NA	Brachypodium distachyon	NA
BRADI3G33355	AP2	BRADI3G33355	NA	Brachypodium distachyon	NA
BRADI4G21265	AP2	BRADI4G21265	NA	Brachypodium distachyon	NA
BRADI5G17630	AP2	BRADI5G17630	NA	Brachypodium distachyon	NA
BRADI5G17640	AP2	BRADI5G17640	NA	Brachypodium distachyon	NA
Cucsa.038760	AP2	Cucsa.038760	NA	Cucumis sativus	NA
Cucsa.116550	AP2	Cucsa.116550	NA	Cucumis sativus	NA
Cucsa.121080	AP2	Cucsa.121080	NA	Cucumis sativus	NA
Cucsa.166340	AP2	Cucsa.166340	NA	Cucumis sativus	NA
Cucsa.237170	AP2	Cucsa.237170	NA	Cucumis sativus	NA
Cucsa.251030	AP2	Cucsa.251030	NA	Cucumis sativus	NA
Cucsa.259750	AP2	Cucsa.259750	NA	Cucumis sativus	NA
Cucsa.359390	AP2	Cucsa.359390	NA	Cucumis sativus	NA
Medtr1g129500	AP2	Medtr1g129500	NA	Medicago truncatula	NA
Medtr2g122400	AP2	Medtr2g122400	NA	Medicago truncatula	NA
Medtr8g006120	AP2	Medtr8g006120	NA	Medicago truncatula	NA
28118.m000034	AP2	28118.m000034	NA	Ricinus communis	NA
28353.m000054	AP2	28353.m000054	NA	Ricinus communis	NA
30146.m003535	AP2	30146.m003535	NA	Ricinus communis	NA
Os11g0242300	AP2	NA	NA	Oryza sativa	NA
Os01g0200600	AP2	NA	NA	Oryza sativa	NA
scaffold_301905.1	AP2	XM_002882949.1	NA	Arabidopsis lyrata	NA
gw1.55.249.1	AP2	gw1.55.249.1	NA	Physcomitrella patens	NA
POPTR_0001s15550	AP2	TINYL8	NA	Populus trichocarpa	NA
POPTR_0001s18800	AP2	TINYL1	NA	Populus trichocarpa	NA
POPTR_0013s10340	AP2	DREB49	NA	Populus trichocarpa	NA
POPTR_0014s05500	AP2	TINYL9	NA	Populus trichocarpa	NA
POPTR_0015s13830	AP2	CBF2	NA	Populus trichocarpa	NA
POPTR_0018s00270	AP2	XM_002324763.1	NA	Populus trichocarpa	NA
POPTR_0019s10420	AP2	DREB50	NA	Populus trichocarpa	NA
scaffold_700899.1	AP2	XM_002869196.1	NA	Arabidopsis lyrata	NA
Sb05g007135	AP2	SB05G007135	NA	Sorghum bicolor	NA
Sb06g024540	AP2	SB06G024540	NA	Sorghum bicolor	NA
GSVIVG00019860001	AP2	GSVIVG00019860001	NA	Vitis vinifera	NA
GSVIVG00036388001	AP2	GSVIVG00036388001	NA	Vitis vinifera	NA
PK23332.1	AP2	PK23332.1	NA	Cannabis sativa	NA
PK25970.1	AP2	PK25970.1	NA	Cannabis sativa	NA
Al_scaffold_0004_2818	AP2	XM_002881762.1	NA	Arabidopsis lyrata	NA
Al_scaffold_0006_1828	AP2	XM_002871815.1	NA	Arabidopsis lyrata	NA
fgenesh2_kg.4__494__AT2G25820.1	AP2	XM_002878844.1	NA	Arabidopsis lyrata	NA
Glyma.20G155100.1	AP2	NA	C-repeat/DRE binding factor 2 [Source:Projected from Arabidopsis thaliana (ATCBF2,CBF2,DREB1C,FTQ4) TAIR;Acc:ATCBF2,CBF2,DREB1C,FTQ4]	Glycine max	NA
fgenesh2_kg.5__2513__AT3G60490.1	AP2	XM_002876514.1	NA	Arabidopsis lyrata	NA
chr1.LjT23O20.60.nd	AP2	chr1.LjT23O20.60.nd	NA	Lotus japonicus	NA
chr1.LjT43L07.200.nd	AP2	chr1.LjT43L07.200.nd	NA	Lotus japonicus	NA
chr3.LjT42M03.60.nd	AP2	chr3.LjT42M03.60.nd	NA	Lotus japonicus	NA
LjSGA_095655.1	AP2	LjSGA_095655.1	NA	Lotus japonicus	NA
LjSGA_100683.2.1	AP2	LjSGA_100683.2.1	NA	Lotus japonicus	NA
LjT33K05.50.nd	AP2	LjT33K05.50.nd	NA	Lotus japonicus	NA
LjT33K05.60.nd	AP2	LjT33K05.60.nd	NA	Lotus japonicus	NA
LjT43F20.80.nd	AP2	LjT43F20.80.nd	NA	Lotus japonicus	NA
fgenesh2_kg.7__1712__AT4G25470.1	AP2	XM_002867561.1	NA	Arabidopsis lyrata	NA
cassava33300.m1	AP2	cassava33300.m1	NA	Manihot esculenta	NA
cassava34828.m1	AP2	cassava34828.m1	NA	Manihot esculenta	NA
cassava43172.valid.m1	AP2	cassava43172.valid.m1	NA	Manihot esculenta	NA
cassava4979.m1	AP2	cassava4979.m1	NA	Manihot esculenta	NA
fgenesh2_kg.1__103__AT1G01250.1	AP2	XM_002889329.1	NA	Arabidopsis lyrata	NA
mgf016974m	AP2	mgf016974m	NA	Mimulus guttatus	NA
mgf017477m	AP2	mgf017477m	NA	Mimulus guttatus	NA
mgf018631m	AP2	mgf018631m	NA	Mimulus guttatus	NA
mgf018934m	AP2	mgf018934m	NA	Mimulus guttatus	NA
mgf019024m	AP2	mgf019024m	NA	Mimulus guttatus	NA
mgf020568m	AP2	mgf020568m	NA	Mimulus guttatus	NA
mgf022408m	AP2	mgf022408m	NA	Mimulus guttatus	NA
Glyma.10G239400.1	AP2	NA	C-repeat-binding factor 4 [Source:Projected from Arabidopsis thaliana (CBF4,DREB1D) TAIR;Acc:CBF4,DREB1D]	Glycine max	NA
Zm00001d046292	ERF	NA	Putative AP2/EREBP transcription factor superfamily protein; AP2-EREBP transcription factor (Putative AP2/EREBP transcription factor superfamily protein) (Uncharacterized protein)	Zea mays	NA
Zm00001d002747	ERF	NA	Unknown protein; AP2-EREBP transcription factor (Uncharacterized protein) (Fragment)	Zea mays	NA
Zm00001d016260	ERF	NA	Unknown protein; AP2-EREBP transcription factor (Uncharacterized protein) (Fragment)	Zea mays	NA
AC233944.1_FG002	AP2	AC233944.1_FG002	NA	Zea mays	NA
Zm00001d048991	ERF	NA	Putative AP2/EREBP transcription factor superfamily protein; AP2-EREBP transcription factor (Putative AP2/EREBP transcription factor superfamily protein) (Uncharacterized protein)	Zea mays	NA
Zm00001d008872	ERF	NA	Putative AP2/EREBP transcription factor superfamily protein; Putative AP2/EREBP transcription factor superfamily protein (Uncharacterized protein)	Zea mays	NA
AT4G17490	AP2; ERF	ATERF6; ERF-6-6; ERF6	ethylene responsive element binding factor 6; Ethylene-responsive transcription factor 6 (AtERF6) (Ethylene-responsive element-binding factor 6) (EREBP-6) [ERF6] [ERF-6] [ERF103] [dl4780c] [FCAALL.120]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
Sb06g024390	AP2	SB06G024390	NA	Sorghum bicolor	NA
AT4G23750	AP2; ERF	CRF2; TMO3	cytokinin response factor 2; Ethylene-responsive transcription factor CRF2 (Protein CYTOKININ RESPONSE FACTOR 2) [CRF2] [ERF064] [F9D16.220]	Arabidopsis thaliana	Component of the cytokinin signaling pathway involved in cotyledons, leaves, and embryos development. May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways
BRADI2G31480	AP2	BRADI2G31480	NA	Brachypodium distachyon	NA
Cucsa.118840	AP2	Cucsa.118840	NA	Cucumis sativus	NA
Cucsa.201950	AP2	Cucsa.201950	NA	Cucumis sativus	NA
Medtr5g083380	AP2	Medtr5g083380	NA	Medicago truncatula	NA
28641.m000082	AP2	28641.m000082	NA	Ricinus communis	NA
POPTR_0002s16900	AP2	ERF83	NA	Populus trichocarpa	NA
Glyma.20G215700.1	AP2	NA	cytokinin response factor 4 [Source:Projected from Arabidopsis thaliana (CRF4) TAIR;Acc:CRF4]	Glycine max	NA
Glyma.14G205600.1	AP2	NA	cytokinin response factor 4 [Source:Projected from Arabidopsis thaliana (CRF4) TAIR;Acc:CRF4]	Glycine max	NA
Glyma11g31400.1	AP2	NA	NA	Glycine max	NA
LjSGA_027251.1	AP2	LjSGA_027251.1	NA	Lotus japonicus	NA
mgf021650m	AP2	mgf021650m	NA	Mimulus guttatus	NA
Glyma.02G236800.1	AP2	NA	cytokinin response factor 4 [Source:Projected from Arabidopsis thaliana (CRF4) TAIR;Acc:CRF4]	Glycine max	NA
AT4G25470	AP2; ERF	FTQ4; CBF2; DREB1C; ATCBF2	C-repeat/DRE binding factor 2; Dehydration-responsive element-binding protein 1C (Protein DREB1C) (C-repeat/dehydration-responsive element-binding factor 2) (C-repeat-binding factor 2) (CRT/DRE-binding factor 2) [DREB1C] [CBF2] [ERF030] [M7J2.161]	Arabidopsis thaliana	mediates cold-inducible transcription.
BRADI1G49570	AP2	BRADI1G49570	NA	Brachypodium distachyon	NA
BRADI3G51630	AP2	BRADI3G51630	NA	Brachypodium distachyon	NA
Cucsa.302750	AP2	Cucsa.302750	NA	Cucumis sativus	NA
ppa010800m	AP2	ppa010800m	NA	Prunus persica	NA
ppa010909m	AP2	ppa010909m	NA	Prunus persica	NA
ppa010935m	AP2	ppa010935m	NA	Prunus persica	NA
ppa017761m	AP2	ppa017761m	NA	Prunus persica	NA
ppa021197m	AP2	ppa021197m	NA	Prunus persica	NA
30190.m011120	AP2	30190.m011120	NA	Ricinus communis	NA
60638.m00016	AP2	60638.m00016	NA	Ricinus communis	NA
Os06g0127100	AP2; ERF	DREB1C	Dehydration-responsive element-binding protein 1C.; Dehydration-responsive element-binding protein 1C (Protein DREB1C) (Protein C-repeat-binding factor 1) [DREB1C] [CBF1] [ERF26] [LOC_Os06g03670] [OsJ_019159] [OSJNBa0038F22.13] [P0425F02.47]	Oryza sativa	mediates high salinity- and dehydration-inducible transcription (By similarity)
e_gw1.41.124.1	AP2	e_gw1.41.124.1	NA	Physcomitrella patens	NA
POPTR_0001s08710	AP2	CBF4	NA	Populus trichocarpa	NA
POPTR_0001s08720	AP2	CBF2	NA	Populus trichocarpa	NA
POPTR_0013s10330	AP2	TINYL19	NA	Populus trichocarpa	NA
POPTR_0019s10430	AP2	DREB53	NA	Populus trichocarpa	NA
Sb04g031950	AP2	SB04G031950	NA	Sorghum bicolor	NA
Sb06g025900	AP2	SB06G025900	NA	Sorghum bicolor	NA
Sb10g001620	AP2	CBF5	NA	Sorghum bicolor	NA
fgenesh2_kg.2__175__AT1G63030.1	AP2	XM_002886393.1	NA	Arabidopsis lyrata	NA
Glyma17g14110.1	AP2	NA	NA	Glycine max	NA
Glyma.12G182200.1	AP2	NA	C-repeat-binding factor 4 [Source:Projected from Arabidopsis thaliana (CBF4,DREB1D) TAIR;Acc:CBF4,DREB1D]	Glycine max	NA
LjSGA_077560.1	AP2	LjSGA_077560.1	NA	Lotus japonicus	NA
cassava17064.m1	AP2	cassava17064.m1	NA	Manihot esculenta	NA
cassava41192.m1	AP2	cassava41192.m1	NA	Manihot esculenta	NA
cassava41218.m1	AP2	cassava41218.m1	NA	Manihot esculenta	NA
mgf017136m	AP2	mgf017136m	NA	Mimulus guttatus	NA
mgf019061m	AP2	mgf019061m	NA	Mimulus guttatus	NA
Zm00001d036003	ERF	NA	DRE-binding protein 4; Putative AP2/EREBP transcription factor superfamily protein; AP2-EREBP transcription factor (DRE-binding protein 4) (Uncharacterized protein)	Zea mays	NA
Zm00001d017592	ERF	NA	Dehydration-responsive element-binding protein 1A; AP2-EREBP transcription factor (Uncharacterized protein) (Fragment)	Zea mays	NA
Glyma.05G049900	AP2	NA	Integrase-type DNA-binding superfamily protein [Source:Projected from Arabidopsis thaliana (DDF1) TAIR;Acc:DDF1]	Glycine max	NA
Glyma.01G216000.1	AP2	NA	Integrase-type DNA-binding superfamily protein [Source:Projected from Arabidopsis thaliana (DDF1) TAIR;Acc:DDF1]	Glycine max	NA
Zm00001d002618	ERF	NA	Dehydration-responsive element-binding protein 1D; Dehydration-responsive element-binding protein 1D (Uncharacterized protein)	Zea mays	NA
AT4G25480	AP2; ERF	ATCBF3; DREB1A; CBF3	dehydration response element B1A; Dehydration-responsive element-binding protein 1A (Protein DREB1A) (C-repeat/dehydration-responsive element-binding factor 3) (C-repeat-binding factor 3) (CRT/DRE-binding factor 3) (Cold resistance-related AP2 transcription factor) [DREB1A] [CBF3] [CRAP2] [ERF072] [M7J2.150]	Arabidopsis thaliana	mediates cold-inducible transcription
AT1G33760	AP2; ERF	AT1G33760	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF022 [ERF022] [F14M2.12]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT1G63030	AP2; ERF	ddf2	Integrase-type DNA-binding superfamily protein; Dehydration-responsive element-binding protein 1E (Protein DREB1E) [DREB1E] [DDF1] [ERF032] [F16M19.20] [F16P17.20]	Arabidopsis thaliana	mediates cold or dehydration-inducible transcription
ppa014628m	AP2	ppa014628m	NA	Prunus persica	NA
30190.m011119	AP2	30190.m011119	NA	Ricinus communis	NA
Os02g0558700	AP2	NA	NA	Oryza sativa	NA
Os04g0430800	AP2	NA	NA	Oryza sativa	NA
e_gw1.15.309.1	AP2	e_gw1.15.309.1	NA	Physcomitrella patens	NA
e_gw1.181.96.1	AP2	e_gw1.181.96.1	NA	Physcomitrella patens	NA
estExt_gwp_gw1.C_2760033	AP2	estExt_gwp_gw1.C_2760033	NA	Physcomitrella patens	NA
GSVIVG00031387001	AP2	GSVIVG00031387001	NA	Vitis vinifera	NA
LjSGA_037211.1	AP2	LjSGA_037211.1	NA	Lotus japonicus	NA
fgenesh2_kg.1__1363__AT1G12610.1	AP2	XM_002892651.1	NA	Arabidopsis lyrata	NA
Zm00001d025477	AP2	NA	NA	Zea mays	NA
AT4G27950	AP2	CRF4	NA	Arabidopsis thaliana	NA
AT4G32800	AP2; ERF	AT4G32800	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF043 [ERF043] [T16I18.10]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
gw1.14.214.1	AP2	gw1.14.214.1	NA	Physcomitrella patens	NA
gw1.480.6.1	AP2	gw1.480.6.1	NA	Physcomitrella patens	NA
AT1G13260	AP2; B3; RAV	RAV1; EDF4	AP2/ERF and B3 domain-containing transcription factor RAV1; related to ABI3/VP1 1; AP2/ERF and B3 domain-containing transcription factor RAV1 (Ethylene-responsive transcription factor RAV1) (Protein RELATED TO ABI3/VP1 1) [RAV1] [T6J4.2]	Arabidopsis thaliana	May function as negative regulator of plant growth and development.
Q96464	trp	GAMYB	NA	Hordeum vulgare	NA
AT5G07580	AP2; ERF	AT5G07580	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF106 [ERF106] [MBK20.1] [T2I1.290]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
P38564	Dof	dof1	DNA-binding with one finger1	Zea mays	NA
O24463	Dof	pbf1	prolamin-box binding factor1	Zea mays	NA
O22676	bZIP	bZIP910	NA	Antirrhinum majus	NA
O22677	bZIP	bZIP911	NA	Antirrhinum majus	NA
AT5G13330	AP2; ERF	Rap2.6L	related to AP2 6l; Ethylene-responsive transcription factor ERF113 [ERF113] [T31B5.150]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
LjSGA_007156.1	AP2	LjSGA_007156.1	NA	Lotus japonicus	NA
AT1G09770	Myb/SANT; trp; MYB	CDC5; ATCDC5; ATMYBCDC5	cell division cycle 5-like protein; cell division cycle 5; Cell division cycle 5-like protein (Cdc5-like protein) (Atypical R2R3-MYB transcription factor CDC5) (MOS4-associated complex protein 1) (MAC protein 1) (Protein MYB DOMAIN CELL DIVISION CYCLE 5) (AtMYBCD5) [CDC5] [MAC1] [MYBCD5] [F21M12.15]	Arabidopsis thaliana	Component of the MAC complex that probably regulates defense responses through transcriptional control and thereby is essential for plant innate immunity. Involved in mRNA splicing and cell cycle control.
AT5G43410	AP2; ERF	AT5G43410	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF096 [ERF096] [MWF20.11]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT5G47220	AP2; ERF	ERF2; ATERF2; ATERF-2	ethylene responsive element binding factor 2; Ethylene-responsive transcription factor 2 (AtERF2) (Ethylene-responsive element-binding factor 2) (EREBP-2) [ERF2] [ERF-2] [ERF101] [MQL5.7]	Arabidopsis thaliana	Involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways. Involved in disease resistance pathways.
AT5G47230	AP2; ERF	ERF5; ATERF-5; ATERF5	ethylene responsive element binding factor 5; Ethylene-responsive transcription factor 5 (AtERF5) (Ethylene-responsive element-binding factor 5) (EREBP-5) [ERF5] [ERF-5] [ERF102] [MQL5_9]	Arabidopsis thaliana	Involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
Sb10g012735	AP2	SB10G012735	NA	Sorghum bicolor	NA
AT2G03710	MADS box; MIKC	4-Sep; AGL3; SEP4	protein SEPALLATA 4; K-box region and MADS-box transcription factor family protein; Agamous-like MADS-box protein AGL3 [AGL3] [F19B11.16]	Arabidopsis thaliana	NA
AT5G51190	AP2; ERF	AT5G51190	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF105 [ERF105] [MWD22.13]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT5G53290	AP2; ERF					   <td style="padding"/></tr></table></font></div></div> 	NA	NA	NA
Zm00001d042588	ERF	NA	AP2 domain containing protein; AP2-EREBP transcription factor (Uncharacterized protein) (Fragment)	Zea mays	NA
Zm00001d034605	ERF	NA	Uncharacterized protein	Zea mays	NA
AT1G30490	bZIP; Homeodomain; HD-ZIP	ATHB9; PHV	homeobox-leucine zipper protein ATHB-9; Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein; Homeobox-leucine zipper protein ATHB-9 (HD-ZIP protein ATHB-9) (Homeodomain transcription factor ATHB-9) (Protein PHAVOLUTA) [ATHB-9] [HB9] [PHV] [F26G16.11]	Arabidopsis thaliana	involved in the determination of adaxial-abaxial polarity in ovule primordium.
Os02g0677300	AP2; ERF	DREB1G	Similar to CRT/DRE binding factor 1.; Dehydration-responsive element-binding protein 1G (Protein DREB1G) [DREB1G] [ERF25] [LOC_Os02g45450] [OsJ_007653] [OSJNBb0005A04.16] [P0135D07.43]	Oryza sativa	mediates high salinity- and dehydration-inducible transcription (By similarity)
Os05g0497200	AP2	NA	NA	Oryza sativa	NA
AT1G09530	bHLH	POC1; PIF3; PAP3	transcription factor PIF3; phytochrome interacting factor 3; Transcription factor PIF3 (Basic helix-loop-helix protein 8) (AtbHLH8) (bHLH 8) (Phytochrome-associated protein 3) (Phytochrome-interacting factor 3) (Transcription factor EN 100) (bHLH transcription factor bHLH008) [PIF3] [BHLH8] [EN100] [PAP3] [F14J9.19]	Arabidopsis thaliana	acting positively in the phytochrome signaling pathway.
Os08g0474000	AP2	NA	NA	Oryza sativa	NA
AT4G37750	AP2	ANT; DRG; CKC; CKC1	AP2-like ethylene-responsive transcription factor ANT; Integrase-type DNA-binding superfamily protein; AP2-like ethylene-responsive transcription factor ANT (Complementing a protein kinase C mutant protein 1) (Protein AINTEGUMENTA) (Protein DRAGON) (Protein OVULE MUTANT) [ANT] [CKC1] [DRG] [OVM] [T28I19.30]	Arabidopsis thaliana	Required for the initiation and growth of ovules integumenta, and for the development of female gametophyte. Plays a critical role in the development of gynoecium marginal tissues (e.g. stigma, style and septa), and in the fusion of carpels and of medial ridges leading to ovule primordia. Also involved in organs initiation and development, including floral organs. Maintains the meristematic competence of cells and consequently sustains expression of cell cycle regulators during organogenesis, thus controlling the final size of each organ by controlling their cell number. Regulates INO autoinduction and expression pattern. As ANT promotes petal cell identity and mediates down-regulation of AG in flower whorl 2, it functions as a class A homeotic gene.
Q9ZWK1	AP2	TEIL	NA	Nicotiana tabacum	NA
AT5G65310	Homeodomain; bZIP; HD-ZIP	ATHB5; HB5; ATHB-5	homeobox-leucine zipper protein ATHB-5; homeobox protein 5; Homeobox-leucine zipper protein ATHB-5 (HD-ZIP protein ATHB-5) (Homeodomain transcription factor ATHB-5) [ATHB-5] [MNA5.4]	Arabidopsis thaliana	acts as a positive regulator of ABA-responsiveness, mediating the inhibitory effect of ABA on growth during seedling establishment.
Q9SXJ0	LIM	lim1	NA	Nicotiana tabacum	NA
estExt_fgenesh1_pg.C_4800009	AP2	estExt_fgenesh1_pg.C_4800009	NA	Physcomitrella patens	NA
AT4G06746	AP2	RAP2.9	NA	Arabidopsis thaliana	NA
Cucsa.237150	AP2	Cucsa.237150	NA	Cucumis sativus	NA
ppa018178m	AP2	ppa018178m	NA	Prunus persica	NA
scaffold_103754.1	AP2	XM_002891013.1	NA	Arabidopsis lyrata	NA
gw1.117.121.1	AP2	gw1.117.121.1	NA	Physcomitrella patens	NA
gw1.133.82.1	AP2	gw1.133.82.1	NA	Physcomitrella patens	NA
gw1.14.262.1	AP2	gw1.14.262.1	NA	Physcomitrella patens	NA
gw1.15.199.1	AP2	gw1.15.199.1	NA	Physcomitrella patens	NA
gw1.259.37.1	AP2	gw1.259.37.1	NA	Physcomitrella patens	NA
gw1.259.39.1	AP2	gw1.259.39.1	NA	Physcomitrella patens	NA
gw1.259.45.1	AP2	gw1.259.45.1	NA	Physcomitrella patens	NA
gw1.276.83.1	AP2	gw1.276.83.1	NA	Physcomitrella patens	NA
gw1.296.16.1	AP2	gw1.296.16.1	NA	Physcomitrella patens	NA
POPTR_0001s18180	AP2	DREB48	NA	Populus trichocarpa	NA
scaffold_700370.1	AP2	XM_002866917.1	NA	Arabidopsis lyrata	NA
GSVIVG00036389001	AP2	GSVIVG00036389001	NA	Vitis vinifera	NA
PK16069.1	AP2	PK16069.1	NA	Cannabis sativa	NA
fgenesh2_kg.4__264__AT2G23340.1	AP2	XM_002878633.1	NA	Arabidopsis lyrata	NA
fgenesh2_kg.6__2823__AT4G06746.1	AP2	XM_002874433.1	NA	Arabidopsis lyrata	NA
cassava8552.m1	AP2	cassava8552.m1	NA	Manihot esculenta	NA
mgf021115m	AP2	mgf021115m	NA	Mimulus guttatus	NA
Zm00001d045204	ERF	NA	Putative AP2/EREBP transcription factor superfamily protein; AP2-EREBP transcription factor (Putative AP2/EREBP transcription factor superfamily protein) (Uncharacterized protein)	Zea mays	NA
Zm00001d036298	ERF	NA	Putative AP2/EREBP transcription factor superfamily protein; AP2-EREBP transcription factor (Uncharacterized protein) (Fragment)	Zea mays	NA
estExt_gwp_gw1.C_550163	AP2	estExt_gwp_gw1.C_550163	NA	Physcomitrella patens	NA
BRADI1G48320	AP2	BRADI1G48320	NA	Brachypodium distachyon	NA
Os06g0166400	AP2	NA	NA	Oryza sativa	NA
estExt_gwp_gw1.C_150120	AP2	estExt_gwp_gw1.C_150120	NA	Physcomitrella patens	NA
Sb10g004580	AP2	SB10G004580	NA	Sorghum bicolor	NA
LjSGA_134387.1	AP2	LjSGA_134387.1	NA	Lotus japonicus	NA
AT1G44830	ERF	NA	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF014 [ERF014] [T12C22.10]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
BRADI3G57867	AP2; ERF	NA	Uncharacterized protein	Brachypodium distachyon	NA
fgenesh2_kg.1__3777__AT1G44830.1	AP2	NA	Uncharacterized protein	Arabidopsis lyrata	NA
cassava28944.valid.m1	AP2	NA	NA	Manihot esculenta	NA
Cucsa.365220	AP2; ERF	NA	Integrase-type DNA-binding superfamily protein	Cucumis sativus	NA
GSVIVG00022076001	AP2	NA	NA	Vitis vinifera	NA
Medtr3g097690	AP2; ERF	NA	ERF family protein	Medicago truncatula	NA
Medtr5g065700	AP2; ERF	NA	hypothetical protein	Medicago truncatula	NA
mgf006561m	AP2	NA	NA	Mimulus guttatus	NA
mgf021045m	AP2	NA	NA	Mimulus guttatus	NA
ppa010649m	AP2; ERF	NA	Integrase-type DNA-binding superfamily protein	Prunus persica	NA
ppa012516m	AP2; ERF	NA	DREB and EAR motif protein 3	Prunus persica	NA
29908.m006165	AP2; ERF	NA	Transcriptional factor TINY	Ricinus communis	NA
Glyma.01G231000.1	AP2	NA	Unknown protein	Glycine max	NA
Glyma.14G147500.1	AP2	NA	Unknown protein	Glycine max	NA
fgenesh1_pg.scaffold_1000495	AP2	fgenesh1_pg.scaffold_1000495	NA	Physcomitrella patens	NA
estExt_fgenesh1_pg.C_1070015	AP2	estExt_fgenesh1_pg.C_1070015	NA	Physcomitrella patens	NA
estExt_fgenesh1_pg.C_600136	AP2	estExt_fgenesh1_pg.C_600136	NA	Physcomitrella patens	NA
estExt_fgenesh1_pg.C_60051	AP2	estExt_fgenesh1_pg.C_60051	NA	Physcomitrella patens	NA
